recipe_id,recipe,prep_time,cook_time,total_time,servings,calories,fat,carbs,protein
878,Easy Indian Butter Chicken,15 mins,45 mins,1 hr,6,880,82g,13g,26g
879,Naan,30 mins,20 mins,2 hrs 30 mins,14,52,4g,4g,1g
880,Indian Chicken Curry,20 mins,25 mins,45 mins,4,313,22g,14g,19g
881,Easy Curry Sauce,15 mins,30 mins,45 mins,8,75,6g,6g,2g
882,Mulligatawny Soup,20 mins,1 hr,1 hr 20 mins,6,223,16g,14g,7g
883,Basic Congee,5 mins,1 hr,1 hr 5 mins,4,205,5g,26g,12g
884,Chili Garlic (Homemade) Paneer,30 mins,20 mins,6 hrs,4,413,23g,36g,18g
885,Chicken Makhani (Indian Butter Chicken),10 mins,25 mins,35 mins,4,408,28g,16g,23g
886,Chicken Tikka Masala,30 mins,50 mins,2 hrs 20 mins,4,404,29g,13g,25g
887,Authentic Saag Paneer,15 mins,45 mins,1 hr,4,299,20g,18g,17g
